id,name,gender,club,teamLabel,competition,jerseyNumber,nationality,positionStatus,positionSource,positionSourceUrl
hk-nl-f-amsterdam-alessia-norbiato,Alessia Norbiato,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,7,IT,unknown,,
hk-nl-f-amsterdam-renske-balemans,Renske Balemans,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,8,NL,unknown,,
hk-nl-f-amsterdam-trijntje-beljaars,Trijntje Beljaars,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,9,NL,unknown,,
hk-nl-f-amsterdam-felice-albers,Felice Albers,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,10,NL,unknown,,
hk-nl-f-amsterdam-fay-van-der-elst,Fay van der Elst,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,12,NL,unknown,,
hk-nl-f-amsterdam-noa-muller,Noa Muller,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,14,NL,unknown,,
hk-nl-f-amsterdam-li-hong,Li Hong,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,15,CN,unknown,,
hk-nl-f-amsterdam-freeke-moes,Freeke Moes,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,18,NL,unknown,,
hk-nl-f-amsterdam-reese-d-ariano,Reese d' Ariano,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,20,NL,unknown,,
hk-nl-f-amsterdam-ivy-tellier,Ivy Tellier,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,21,NL,unknown,,
hk-nl-f-amsterdam-stella-van-gils,Stella van Gils,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,22,NL,unknown,,
hk-nl-f-amsterdam-charlotte-adegeest,Charlotte Adegeest,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,23,NL,unknown,,
hk-nl-f-amsterdam-sarah-smit-sibinga,Sarah Smit Sibinga,female,Amsterdam,Dames 1,Tulp Hoofdklasse Hockey Dames,24,NL,unknown,,
hk-nl-f-den-bosch-josephine-bekkers,Josephine Bekkers,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,2,NL,unknown,,
hk-nl-f-den-bosch-rosa-fernig,Rosa Fernig,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,3,NL,unknown,,
hk-nl-f-den-bosch-anouk-brouwer,Anouk Brouwer,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,4,NL,unknown,,
hk-nl-f-den-bosch-charlotte-englebert,Charlotte Englebert,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,6,BE,unknown,,
hk-nl-f-den-bosch-danique-van-der-veerdonk,Danique van der Veerdonk,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,7,NL,unknown,,
hk-nl-f-den-bosch-teuntje-de-wit,Teuntje de Wit,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,8,NL,unknown,,
hk-nl-f-den-bosch-janneke-van-de-venne,Janneke van de Venne,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,9,NL,unknown,,
hk-nl-f-den-bosch-kim-peters,Kim Peters,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,10,NL,unknown,,
hk-nl-f-den-bosch-pien-sanders,Pien Sanders,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,11,NL,unknown,,
hk-nl-f-den-bosch-babs-reijnen,Babs Reijnen,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,13,NL,unknown,,
hk-nl-f-den-bosch-sanne-koolen,Sanne Koolen,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,14,NL,unknown,,
hk-nl-f-den-bosch-joosje-burg,Joosje Burg,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,16,NL,unknown,,
hk-nl-f-den-bosch-romee-joosten,Romee Joosten,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,18,NL,unknown,,
hk-nl-f-den-bosch-emma-reijnen,Emma Reijnen,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,19,NL,unknown,,
hk-nl-f-den-bosch-laura-nunnink,Laura Nunnink,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,20,NL,unknown,,
hk-nl-f-den-bosch-imme-van-der-hoek,Imme van der Hoek,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,21,NL,unknown,,
hk-nl-f-den-bosch-maartje-krekelaar,Maartje Krekelaar,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,22,NL,unknown,,
hk-nl-f-den-bosch-elke-boers,Elke Boers,female,Den Bosch,Dames 1,Tulp Hoofdklasse Hockey Dames,24,NL,unknown,,
hk-nl-f-hdm-kaat-walhof,Kaat Walhof,female,HDM,Dames 1,Tulp Hoofdklasse Hockey Dames,2,NL,unknown,,
hk-nl-f-hdm-julia-duffhuis,Julia Duffhuis,female,HDM,Dames 1,Tulp Hoofdklasse Hockey Dames,3,NL,unknown,,
hk-nl-f-hdm-claudia-negrete-garcia,Claudia Negrete Garcia,female,HDM,Dames 1,Tulp Hoofdklasse Hockey Dames,4,ES,unknown,,
hk-nl-f-hdm-tessa-clasener,Tessa Clasener,female,HDM,Dames 1,Tulp Hoofdklasse Hockey Dames,5,NL,unknown,,
hk-nl-f-hdm-hester-van-der-veld,Hester van der Veld,female,HDM,Dames 1,Tulp Hoofdklasse Hockey Dames,6,NL,unknown,,
hk-nl-f-hdm-anke-sanders,Anke Sanders,female,HDM,Dames 1,Tulp Hoofdklasse Hockey Dames,8,NL,unknown,,
hk-nl-f-hdm-juliette-hijdra,Juliette Hijdra,female,HDM,Dames 1,Tulp Hoofdklasse Hockey Dames,9,NL,unknown,,
